Unnamed: 0,image_link,group_id,entity_name,entity_value,pytesseract_output,extracted_data
98467,https://m.media-amazon.com/images/I/71c7OUcucTL.jpg,529606,item_weight,567 gram," 
",[]
116348,https://m.media-amazon.com/images/I/81KcClrXxaL.jpg,211213,item_weight,1.0 kilogram,"6 Auto Cook Menus Py

From popcorn to pasta, these pre-set menus
make heating your favourite foods easier than ever —

 

VEGETABLES

ry

ath POPCORN BEVERA

i

tals g

a5
ee aus

 
","[['6', ' Auto', ''], ['5', '\nee a', ' g\n\na']]"
109788,https://m.media-amazon.com/images/I/7194z1PyexL.jpg,297918,item_weight,1.41 ounce," 
",[]
109254,https://m.media-amazon.com/images/I/51NNyPYohuL.jpg,523149,item_weight,2.2 gram," 

Be: #)2.2g

 

BER: RIDFLIME, SA NTRA, BEI AE!
","[['2.2', 'g\n\n \n', 'e: #)']]"
96686,https://m.media-amazon.com/images/I/51K8zUa5T1L.jpg,658003,item_weight,62.0 gram,"Peso Netto (g): 62,00

H - Altezza (mm): 24,00

di - Diametro esterno (mm): 215,00

 
","[['62.00', '\n\nH -', '(g): '], ['24.00', '\n\ndi ', 'mm): '], ['215.00', '\n\n \n\x0c', 'mm): ']]"
89614,https://m.media-amazon.com/images/I/61EJ30GOtoL.jpg,630869,item_weight,16.0 gram,"316L Stainless Steel
Weight : 16g
High Polished Surface

 
","[['316', 'L Sta', ''], ['16', 'g\nHig', 'ht : ']]"
66970,https://m.media-amazon.com/images/I/51Vhbg7qFDL.jpg,630869,item_weight,12.0 gram," 

5mm/(0.2”)

 

Material:Stainless steel

Weight:12g

 
","[['5', 'mm/(0', ' \n\n'], ['0.2', '”)\n\n ', '5mm/('], ['12', 'g\n\n \n', 'ight:']]"
2417,https://m.media-amazon.com/images/I/71QBpM5AjbL.jpg,929999,item_weight,330.0 gram," 
",[]
105875,https://m.media-amazon.com/images/I/71NqdfoTJyL.jpg,375816,item_weight,2.0 gram," 
",[]
59181,https://m.media-amazon.com/images/I/81W+p-AC2BL.jpg,810266,item_weight,20.0 ounce,"Anytime you have that “Fu k Around And Find Out”
feeling from a Bi ch. Hoe, or Thot, simply stand back
and spray that bi ch in the face until they are gone.
1 crisp fuk off scent will linger long after that bi ch

NOT FOR USE ON CHILDREN: Having issues with
tiny assholes? Try our nappy time sprays & foggers.

ZEEE pees
fe DONT TRY ME
SPRAY

     

 
  

something stronger? Keep watch for our new
get stitches” line of portable cleaning items.

 

aNd)
IMINATES
Bi ches *Hoes*Thots*Karens*Sluts*Wenches*Skanks
Dumbasses*Pricks*Di ks*Assholes*Scumbags.
Douch Canoes*Thundercunts*Twatwaffles*Sh t heads
Micro-managing Bosses*Lazy-ass Supervisors*
Annoying Customers*Petty Exes*Narcissists* Snobs.

 

Fu b Off scent

 

 

  

(@1)95012345678903 (3103) 000123 yr

 

NET WT
20 oz

 
  

 
 
","[['1', ' cris', 'one.\n'], ['1', ')9501', ' \n\n(@'], ['95012345678903', ' (310', '\n(@1)'], ['3103', ') 000', '903 ('], ['000123', ' yr\n\n', '103) '], ['20', ' oz\n\n', 'T WT\n']]"
29299,https://m.media-amazon.com/images/I/614QuN-aYCL.jpg,881883,item_weight,230.0 gram,"    

Woven in three layers

   

Be VE CUur Heth Aa el \\-taCce
Weight: 230 g/m2
","[['230', ' g/m2', 'ght: '], ['2', '\n\x0c', '0 g/m']]"
128939,https://m.media-amazon.com/images/I/71Zs4fOVa1L.jpg,654649,item_weight,2.4 gram,"App-Fernbedienung und Fernsteuerung

Il ee | A
Yr il =)
2 : DUAL CONTROL
eye)

   

2.4G REMOTE CONTROL
APP REMOTE CONTROL MODE
","[['2', ' : DU', 'l =)\n'], ['2.4', 'G REM', '   \n\n']]"
109810,https://m.media-amazon.com/images/I/81zm1GVN6wL.jpg,558374,item_weight,19.7 ounce,"aDTt LOLiieoe es
MAGIZO ACIDULADS Se
f ts y

 
  
 
   

FLAVORS: P
EACH AND p
SABORES: DURAZNO 1 INEAPPLE
Pitan tt

or ¥ ie 4

- CERNE: , oom TA 4()
yi? #2

PFET LOH KEN J

A AP. y i

POF! TO LENG ‘

Pe 4 RN

    
   
   
   
","[['1', ' INEA', 'AZNO '], ['4', '\n\n- C', '¥ ie '], ['4', '()\nyi', 'm TA '], ['2', '\n\nPFE', 'yi? #'], ['4', ' RN\n\n', '\n\nPe ']]"
20579,https://m.media-amazon.com/images/I/61-6Pa3DUlL.jpg,801837,item_weight,"[25.0, 35.0] kilogram","XL

XXL

XXXL

Geeignete Hohe

120-145cm

155-168cm

170-175cm

175-180cm

180-185cm

185-195cm

 

Geeignete Gewicht
25-35kg
45-60kg
60-70kg
70-80kg
80-90kg

90-110kg
","[['120-145', 'cm\n\n1', 'ohe\n\n'], ['155-168', 'cm\n\n1', '5cm\n\n'], ['170-175', 'cm\n\n1', '8cm\n\n'], ['175-180', 'cm\n\n1', '5cm\n\n'], ['180-185', 'cm\n\n1', '0cm\n\n'], ['185-195', 'cm\n\n ', '5cm\n\n'], ['25-35', 'kg\n45', 'icht\n'], ['45-60', 'kg\n60', '35kg\n'], ['60-70', 'kg\n70', '60kg\n'], ['70-80', 'kg\n80', '70kg\n'], ['80-90', 'kg\n\n9', '80kg\n'], ['90-110', 'kg\n\x0c', '0kg\n\n']]"
743,https://m.media-amazon.com/images/I/614aBp6QwxL.jpg,299791,item_weight,6.9 gram," 
   
   
   
   
   
   
   
   
    

Eight sizes of the chain:
A.35cm (14inches) Net weight:6.9g
B.46cm (18inches) Net weight:9g
C.51cm (20inches) Net weight:9.5g
D.55cm (22inches) Net weight:10g
E.61cm (24inches) Net weight:11g
F.66cm (26inches) Net weight:12g
G.71cm (28inches) Net weight:15g

H.76cm (30inches) Net weight:16g

3mm(0.1inch)
","[['35', 'cm (1', 'n:\nA.'], ['14', 'inche', '5cm ('], ['6.9', 'g\nB.4', 'ight:'], ['46', 'cm (1', '9g\nB.'], ['18', 'inche', '6cm ('], ['9', 'g\nC.5', 'ight:'], ['51', 'cm (2', '9g\nC.'], ['20', 'inche', '1cm ('], ['9.5', 'g\nD.5', 'ight:'], ['55', 'cm (2', '5g\nD.'], ['22', 'inche', '5cm ('], ['10', 'g\nE.6', 'ight:'], ['61', 'cm (2', '0g\nE.'], ['24', 'inche', '1cm ('], ['11', 'g\nF.6', 'ight:'], ['66', 'cm (2', '1g\nF.'], ['26', 'inche', '6cm ('], ['12', 'g\nG.7', 'ight:'], ['71', 'cm (2', '2g\nG.'], ['28', 'inche', '1cm ('], ['15', 'g\n\nH.', 'ight:'], ['76', 'cm (3', 'g\n\nH.'], ['30', 'inche', '6cm ('], ['16', 'g\n\n3m', 'ight:'], ['3', 'mm(0.', '16g\n\n'], ['0.1', 'inch)', '\n3mm(']]"
52994,https://m.media-amazon.com/images/I/61q588ra9kL.jpg,308856,item_weight,1000.0 gram," 
",[]
48430,https://m.media-amazon.com/images/I/61S67pg7hBL.jpg,152057,item_weight,500.0 gram,"etetaxaltc le) coma l ace]
Pree Ald pouch

yourhealthstore.co.uk®9

eat better, feel better

ee

    
 

100% Pure Cheddar

Cheese

  

Eran & ©

X0019UXZO1
ourhealth 0% ..to, (Recyclable Pouch}

     
 

I
Salt [758

 

 
","[['9', '\n\neat', 'o.uk®'], ['100', '% Pur', ' \n \n\n'], ['0019', 'UXZO1', ' ©\n\nX'], ['1', '\nourh', '9UXZO'], ['0', '% ..t', 'alth '], ['758', '\n\n \n\n', 'alt [']]"
52856,https://m.media-amazon.com/images/I/714d9LgqFyL.jpg,731432,item_weight,87.0 gram,"   

\\SM, Vitamine C, Zinc et acides aminés
Poids Net : 87 g

Pour les femmes enceintes ou allaitantes, prendre
‘avis d'un professionnel de santé. Tenir hors de
norte des enfants. Conserver d température

ambiante. Ne pas utiliser sil’opercule du flacon est

nanguant oU endommagé. A consommer de PE [
oréférence avant fin et lot N° voir sur le haut du 9
lacon: Ne pas dépasser la dose journaliére.Solgar®

ost une marque déposée. ( HI
-e5 compléments alimentaires ne peuvent étre

siilises comme substituts d'un régime alimentaire
/arié et équilibré et d'un mode de vie sain.
Solgar’s KOF-K certification #K-1250

volgar est une marque déposée.

‘abriqué par Solgar UK :

Solgar (U.K.), Herts, HP23 5PT

our NHS France

34-40 rue Guynemer

12130 Issy-les-Moulineaux
735/40865

XFRB4213 028

 

 
","[['87', ' g\n\nP', 'et : '], ['9', '\nlaco', 't du '], ['5', ' comp', 'HI\n-e'], ['1250', '\n\nvol', 'n #K-'], ['23', ' 5PT\n', 's. HP'], ['5', 'PT\n\no', 'HP23 '], ['34-40', ' rue ', 'nce\n\n'], ['12130', ' Issy', 'mer\n\n'], ['735', '/4086', 'eaux\n'], ['40865', '\n\nXFR', '\n735/'], ['4213', ' 028\n', '\nXFRB'], ['028', '\n\n \n\n', '4213 ']]"
