,image_link,group_id,entity_name,entity_value
98467,https://m.media-amazon.com/images/I/71c7OUcucTL.jpg,529606,item_weight,567 gram
116348,https://m.media-amazon.com/images/I/81KcClrXxaL.jpg,211213,item_weight,1.0 kilogram
109788,https://m.media-amazon.com/images/I/7194z1PyexL.jpg,297918,item_weight,1.41 ounce
109254,https://m.media-amazon.com/images/I/51NNyPYohuL.jpg,523149,item_weight,2.2 gram
96686,https://m.media-amazon.com/images/I/51K8zUa5T1L.jpg,658003,item_weight,62.0 gram
89614,https://m.media-amazon.com/images/I/61EJ30GOtoL.jpg,630869,item_weight,16.0 gram
66970,https://m.media-amazon.com/images/I/51Vhbg7qFDL.jpg,630869,item_weight,12.0 gram
2417,https://m.media-amazon.com/images/I/71QBpM5AjbL.jpg,929999,item_weight,330.0 gram
105875,https://m.media-amazon.com/images/I/71NqdfoTJyL.jpg,375816,item_weight,2.0 gram
59181,https://m.media-amazon.com/images/I/81W+p-AC2BL.jpg,810266,item_weight,20.0 ounce
29299,https://m.media-amazon.com/images/I/614QuN-aYCL.jpg,881883,item_weight,230.0 gram
128939,https://m.media-amazon.com/images/I/71Zs4fOVa1L.jpg,654649,item_weight,2.4 gram
109810,https://m.media-amazon.com/images/I/81zm1GVN6wL.jpg,558374,item_weight,19.7 ounce
20579,https://m.media-amazon.com/images/I/61-6Pa3DUlL.jpg,801837,item_weight,"[25.0, 35.0] kilogram"
743,https://m.media-amazon.com/images/I/614aBp6QwxL.jpg,299791,item_weight,6.9 gram
52994,https://m.media-amazon.com/images/I/61q588ra9kL.jpg,308856,item_weight,1000.0 gram
48430,https://m.media-amazon.com/images/I/61S67pg7hBL.jpg,152057,item_weight,500.0 gram
52856,https://m.media-amazon.com/images/I/714d9LgqFyL.jpg,731432,item_weight,87.0 gram
53533,https://m.media-amazon.com/images/I/717r4wdsHBL.jpg,844474,item_weight,6.0 gram
112716,https://m.media-amazon.com/images/I/81yMoafS-8L.jpg,308856,item_weight,100.0 gram
42280,https://m.media-amazon.com/images/I/71IlZAnNq7L.jpg,281678,item_volume,8.0 fluid ounce
14369,https://m.media-amazon.com/images/I/716L4I-O08L.jpg,254449,item_volume,250.0 millilitre
130692,https://m.media-amazon.com/images/I/51MlCLd0MOL.jpg,369753,item_volume,5.5 ounce
115776,https://m.media-amazon.com/images/I/81bZIWKjxfL.jpg,884560,item_volume,284.0 millilitre
127428,https://m.media-amazon.com/images/I/61vgSGw2X-L.jpg,254449,item_volume,4.0 fluid ounce
103915,https://m.media-amazon.com/images/I/31eXwPch0TL.jpg,625842,item_volume,250.0 millilitre
3095,https://m.media-amazon.com/images/I/61NLjwkWuhL.jpg,373285,item_volume,0.9 litre
71739,https://m.media-amazon.com/images/I/710mb1wSiLS.jpg,373285,item_volume,32.0 fluid ounce
106603,https://m.media-amazon.com/images/I/5116r3GjWML.jpg,916768,item_volume,1.9 litre
72438,https://m.media-amazon.com/images/I/71d2-HL+9QL.jpg,459516,item_volume,15.0 millilitre
61675,https://m.media-amazon.com/images/I/81L0XwwHDpL.jpg,916768,item_volume,3.0 cubic inch
5837,https://m.media-amazon.com/images/I/71Gy0Bf5ftL.jpg,459516,item_volume,2.0 fluid ounce
70013,https://m.media-amazon.com/images/I/81rLgy2RdmL.jpg,459516,item_volume,0.42 millilitre
125273,https://m.media-amazon.com/images/I/71l6W39OI0L.jpg,459516,item_volume,50.0 millilitre
47248,https://m.media-amazon.com/images/I/61KPRvZi7QL.jpg,916768,item_volume,1750.0 millilitre
97664,https://m.media-amazon.com/images/I/71VbyiL55TL.jpg,884560,item_volume,200.0 millilitre
15427,https://m.media-amazon.com/images/I/71yLa6P2u5L.jpg,459516,item_volume,2.0 fluid ounce
109636,https://m.media-amazon.com/images/I/71AtinNcoxL.jpg,459516,item_volume,450.0 millilitre
113913,https://m.media-amazon.com/images/I/71OwNcnVv0L.jpg,373285,item_volume,46.0 fluid ounce
16967,https://m.media-amazon.com/images/I/71VfBbDkjCL.jpg,459516,item_volume,1.0 litre
120207,https://m.media-amazon.com/images/I/71ScuystREL.jpg,271537,voltage,12.0 volt
66513,https://m.media-amazon.com/images/I/51u-80qlwML.jpg,271537,voltage,20.0 volt
77043,https://m.media-amazon.com/images/I/61m3-HGEaXL.jpg,983323,voltage,5.0 volt
9128,https://m.media-amazon.com/images/I/71SuNO+qglL.jpg,179080,voltage,48.0 volt
2458,https://m.media-amazon.com/images/I/51tVIBwP4pL.jpg,709627,voltage,43.0 volt
84854,https://m.media-amazon.com/images/I/71uJfU5HbUL.jpg,752266,voltage,5.5 volt
31969,https://m.media-amazon.com/images/I/61w3c0P3wFL.jpg,752266,voltage,1.2 volt
111527,https://m.media-amazon.com/images/I/61h7RSVfgPL.jpg,709627,voltage,3.82 volt
13844,https://m.media-amazon.com/images/I/81DQR-mPayL.jpg,860821,voltage,"[14.0, 20.0] volt"
37103,https://m.media-amazon.com/images/I/61w323QIMHL.jpg,271537,voltage,12.0 volt
