Unnamed: 0,image_link,group_id,entity_name,entity_value,pytesseract_output
98467,https://m.media-amazon.com/images/I/71c7OUcucTL.jpg,529606,item_weight,567 gram," 
"
116348,https://m.media-amazon.com/images/I/81KcClrXxaL.jpg,211213,item_weight,1.0 kilogram,"6 Auto Cook Menus Py

From popcorn to pasta, these pre-set menus
make heating your favourite foods easier than ever —

 

VEGETABLES

ry

ath POPCORN BEVERA

i

tals g

a5
ee aus

 
"
109788,https://m.media-amazon.com/images/I/7194z1PyexL.jpg,297918,item_weight,1.41 ounce," 
"
109254,https://m.media-amazon.com/images/I/51NNyPYohuL.jpg,523149,item_weight,2.2 gram," 

Be: #)2.2g

 

BER: RIDFLIME, SA NTRA, BEI AE!
"
96686,https://m.media-amazon.com/images/I/51K8zUa5T1L.jpg,658003,item_weight,62.0 gram,"Peso Netto (g): 62,00

H - Altezza (mm): 24,00

di - Diametro esterno (mm): 215,00

 
"
89614,https://m.media-amazon.com/images/I/61EJ30GOtoL.jpg,630869,item_weight,16.0 gram,"316L Stainless Steel
Weight : 16g
High Polished Surface

 
"
66970,https://m.media-amazon.com/images/I/51Vhbg7qFDL.jpg,630869,item_weight,12.0 gram," 

5mm/(0.2”)

 

Material:Stainless steel

Weight:12g

 
"
2417,https://m.media-amazon.com/images/I/71QBpM5AjbL.jpg,929999,item_weight,330.0 gram," 
"
105875,https://m.media-amazon.com/images/I/71NqdfoTJyL.jpg,375816,item_weight,2.0 gram," 
"
59181,https://m.media-amazon.com/images/I/81W+p-AC2BL.jpg,810266,item_weight,20.0 ounce,"Anytime you have that “Fu k Around And Find Out”
feeling from a Bi ch. Hoe, or Thot, simply stand back
and spray that bi ch in the face until they are gone.
1 crisp fuk off scent will linger long after that bi ch

NOT FOR USE ON CHILDREN: Having issues with
tiny assholes? Try our nappy time sprays & foggers.

ZEEE pees
fe DONT TRY ME
SPRAY

     

 
  

something stronger? Keep watch for our new
get stitches” line of portable cleaning items.

 

aNd)
IMINATES
Bi ches *Hoes*Thots*Karens*Sluts*Wenches*Skanks
Dumbasses*Pricks*Di ks*Assholes*Scumbags.
Douch Canoes*Thundercunts*Twatwaffles*Sh t heads
Micro-managing Bosses*Lazy-ass Supervisors*
Annoying Customers*Petty Exes*Narcissists* Snobs.

 

Fu b Off scent

 

 

  

(@1)95012345678903 (3103) 000123 yr

 

NET WT
20 oz

 
  

 
 
"
29299,https://m.media-amazon.com/images/I/614QuN-aYCL.jpg,881883,item_weight,230.0 gram,"    

Woven in three layers

   

Be VE CUur Heth Aa el \\-taCce
Weight: 230 g/m2
"
128939,https://m.media-amazon.com/images/I/71Zs4fOVa1L.jpg,654649,item_weight,2.4 gram,"App-Fernbedienung und Fernsteuerung

Il ee | A
Yr il =)
2 : DUAL CONTROL
eye)

   

2.4G REMOTE CONTROL
APP REMOTE CONTROL MODE
"
109810,https://m.media-amazon.com/images/I/81zm1GVN6wL.jpg,558374,item_weight,19.7 ounce,"aDTt LOLiieoe es
MAGIZO ACIDULADS Se
f ts y

 
  
 
   

FLAVORS: P
EACH AND p
SABORES: DURAZNO 1 INEAPPLE
Pitan tt

or ¥ ie 4

- CERNE: , oom TA 4()
yi? #2

PFET LOH KEN J

A AP. y i

POF! TO LENG ‘

Pe 4 RN

    
   
   
   
"
20579,https://m.media-amazon.com/images/I/61-6Pa3DUlL.jpg,801837,item_weight,"[25.0, 35.0] kilogram","XL

XXL

XXXL

Geeignete Hohe

120-145cm

155-168cm

170-175cm

175-180cm

180-185cm

185-195cm

 

Geeignete Gewicht
25-35kg
45-60kg
60-70kg
70-80kg
80-90kg

90-110kg
"
743,https://m.media-amazon.com/images/I/614aBp6QwxL.jpg,299791,item_weight,6.9 gram," 
   
   
   
   
   
   
   
   
    

Eight sizes of the chain:
A.35cm (14inches) Net weight:6.9g
B.46cm (18inches) Net weight:9g
C.51cm (20inches) Net weight:9.5g
D.55cm (22inches) Net weight:10g
E.61cm (24inches) Net weight:11g
F.66cm (26inches) Net weight:12g
G.71cm (28inches) Net weight:15g

H.76cm (30inches) Net weight:16g

3mm(0.1inch)
"
52994,https://m.media-amazon.com/images/I/61q588ra9kL.jpg,308856,item_weight,1000.0 gram," 
"
