,index,image_link,group_id,entity_name,pytesseract_output,extracted_data,valid_data
0,39398,https://m.media-amazon.com/images/I/51KPYVZtFhL.jpg,373107,width,"Eyelet#10

5mm

 

9mm
","[['10', '', 'elet#'], ['5', 'mm', ''], ['9', 'mm', '']]","[['5', 'millimeter'], ['9', 'millimeter']]"
1,39399,https://m.media-amazon.com/images/I/51KPaJLHzjL.jpg,417434,height,,[],[]
2,39400,https://m.media-amazon.com/images/I/51KPbIUn2BL.jpg,916768,height," 
 
 

UIZO OL/WILZ
",[],[]
3,39401,https://m.media-amazon.com/images/I/51KPg7dtyOS.jpg,931856,width,"4.8cm

 

4.8 cm
","[['4.8', 'cm', ''], ['4.8', ' cm', '']]","[['4.8', 'centimeter'], ['4.8', 'centimeter']]"
4,39402,https://m.media-amazon.com/images/I/51KPg7dtyOS.jpg,931856,depth,"4.8cm

 

4.8 cm
","[['4.8', 'cm', ''], ['4.8', ' cm', '']]","[['4.8', 'centimeter'], ['4.8', 'centimeter']]"
5,39403,https://m.media-amazon.com/images/I/51KPhYbZEJS.jpg,347404,width," 
",[],[]
6,39404,https://m.media-amazon.com/images/I/51KQfwojngL.jpg,240413,voltage," 

® 4X70F28590-BN

16GB PC4~17000 DDA4-2133MHZ
‘2RX4 1.2V ECC REGISTERED RDIMM

Lenovo |actssele)

INC =.

Binee
e

x
So
a
nN
feo)
a
o
2
oO
=

 
","[['4', 'X70F2', '® '], ['70', 'F2859', '® 4X'], ['28590', '-BN', '4X70F'], ['16', 'GB PC', ''], ['4', '~1700', 'GB PC'], ['17000', ' DDA4', ' PC4~'], ['4-2133', 'MHZ', '0 DDA'], ['2', 'RX4 1', '‘'], ['4', ' 1.2V', '‘2RX'], ['1.2', 'V ECC', '2RX4 '], ['2', '', '']]","[['4', 'volt'], ['1.2', 'volt']]"
7,39405,https://m.media-amazon.com/images/I/51KQktuEAgL.jpg,953313,item_weight,"       

  
  
 
  
      

3 » HGST www.hgst.con am

q a
Sce Bet w

(Ads E182115 CN
Dd RABE, ace Sis RUM 0s

   

 

 

ine D> \
&
ee

riaae SALA 2.88/89

A
Uy aa ug um

ry V0
LABEL?
WIS

 

       

 

 

ISMNI4

MADE IN CHINA
","[['3', ' » HG', ''], ['182115', ' CN', 'Ads E'], ['0', 's', ' RUM '], ['2.88', '/89', 'SALA '], ['89', '', '2.88/'], ['0', '', 'ry V'], ['4', '', 'ISMNI']]","[['3', 'microgram']]"
8,39406,https://m.media-amazon.com/images/I/51KQqnaLqCL.jpg,965518,voltage," 
",[],[]
9,39407,https://m.media-amazon.com/images/I/51KQr6IfE2L.jpg,939426,maximum_weight_recommendation,"   

Cat toilet trainer
Say NO to shoveling!
",[],[]
10,39408,https://m.media-amazon.com/images/I/51KQyU6kM-L.jpg,488883,height,"45cm

 
","[['45', 'cm', '']]","[['45', 'centimeter']]"
11,39409,https://m.media-amazon.com/images/I/51KR-6-3j3L.jpg,521308,height," 
",[],[]
12,39410,https://m.media-amazon.com/images/I/51KR-6-3j3L.jpg,521308,width," 
",[],[]
13,39411,https://m.media-amazon.com/images/I/51KR1nsHdwL.jpg,173193,depth,"DUCcAT
energia
416.10.37,,
4 uF 5%
@ 425V 10000nie13

000hici.
pam | 55 mm

50-60Hz i}

H® RCE

EN 60252-1/A1
Made in Romania

 

ee

¢ 25mm

 
","[['416.10', '.37..', ''], ['37.', '.', '6.10.'], ['4', ' uF 5', ''], ['5', '%', '4 uF '], ['425', 'V 100', '@ '], ['10000', 'nie13', '425V '], ['13', '', '00nie'], ['000', 'hici.', ''], ['55', ' mm', 'am | '], ['50-60', 'Hz i}', ''], ['60252-1', '/A1', 'EN '], ['1', '', '2-1/A'], ['25', 'mm', '¢ ']]","[['55', 'millimeter'], ['60252-1', 'centimeter'], ['25', 'millimeter']]"
14,39412,https://m.media-amazon.com/images/I/51KR1nsHdwL.jpg,173193,height,"DUCcAT
energia
416.10.37,,
4 uF 5%
@ 425V 10000nie13

000hici.
pam | 55 mm

50-60Hz i}

H® RCE

EN 60252-1/A1
Made in Romania

 

ee

¢ 25mm

 
","[['416.10', '.37..', ''], ['37.', '.', '6.10.'], ['4', ' uF 5', ''], ['5', '%', '4 uF '], ['425', 'V 100', '@ '], ['10000', 'nie13', '425V '], ['13', '', '00nie'], ['000', 'hici.', ''], ['55', ' mm', 'am | '], ['50-60', 'Hz i}', ''], ['60252-1', '/A1', 'EN '], ['1', '', '2-1/A'], ['25', 'mm', '¢ ']]","[['55', 'millimeter'], ['60252-1', 'centimeter'], ['25', 'millimeter']]"
15,39413,https://m.media-amazon.com/images/I/51KR21JgCZL.jpg,516127,depth,"14cm

 

 

7. 5em

 
","[['14', 'cm', ''], ['7.', ' 5em', ''], ['5', 'em', '7. ']]","[['14', 'centimeter'], ['7.', 'metre'], ['5', 'metre']]"
16,39414,https://m.media-amazon.com/images/I/51KR21JgCZL.jpg,516127,height,"14cm

 

 

7. 5em

 
","[['14', 'cm', ''], ['7.', ' 5em', ''], ['5', 'em', '7. ']]","[['14', 'centimeter'], ['7.', 'metre'], ['5', 'metre']]"
17,39415,https://m.media-amazon.com/images/I/51KRBpAZpoL.jpg,932012,width,"160cm

100cm
","[['160', 'cm', ''], ['100', 'cm', '']]","[['160', 'centimeter'], ['100', 'centimeter']]"
